date,hour,SNOD,GUST,ASNOW_acc_fcst,PRES,TMP
20231001,00,0.0,27.68,0.0,20.23,46.58
20231001,01,0.0,29.21,0.0,20.23,43.88
20231001,02,0.0,29.22,0.0,20.23,46.58
20231001,03,0.0,27.56,0.0,20.23,46.58
20231001,04,0.0,28.02,0.0,20.23,48.38
20231001,05,0.0,27.07,0.0,20.23,47.93
20231001,06,0.03,25.53,0.04,20.22,45.23
20231001,07,0.0,27.3,0.0,20.23,49.28
20231001,08,0.0,26.44,0.0,20.23,48.83
20231001,09,0.0,24.9,0.0,20.24,49.28
20231001,10,0.0,25.72,0.0,20.24,49.73
20231001,11,0.0,24.71,0.0,20.23,51.08
20231001,12,0.0,23.31,0.05,20.2,45.68
20231001,13,0.0,25.66,0.0,20.23,51.98
20231001,14,0.0,25.6,0.0,20.23,52.43
20231001,15,0.0,24.9,0.0,20.23,52.43
20231001,16,0.0,24.73,0.0,20.23,50.63
20231001,17,0.0,23.45,0.0,20.23,49.28
20231001,18,0.0,22.12,0.04,20.18,42.98
20231001,19,0.0,23.54,0.0,20.24,47.03
20231001,20,0.0,22.89,0.0,20.24,45.68
20231001,21,0.0,23.57,0.0,20.24,44.78
20231001,22,0.0,24.31,0.0,20.24,44.33
20231001,23,0.0,23.15,0.0,20.24,44.33
20231002,00,0.01,20.09,0.07,20.18,39.38
20231002,01,0.0,22.91,0.0,20.24,44.33
20231002,02,0.0,25.2,0.0,20.24,44.33
20231002,03,0.0,24.99,0.02,20.24,42.98
20231002,04,0.0,26.3,0.0,20.23,46.13
20231002,05,0.0,25.48,0.0,20.22,45.23
20231002,06,0.0,21.02,0.04,20.17,38.03
20231002,07,0.0,24.94,0.02,20.21,46.13
20231002,08,0.0,25.86,0.0,20.21,47.03
20231002,09,0.0,25.13,0.0,20.19,45.68
20231002,10,0.02,25.94,0.04,20.19,45.68
20231002,11,0.0,24.17,0.02,20.18,45.68
20231002,12,0.02,18.18,0.38,20.16,36.68
20231002,13,0.04,21.89,0.26,20.17,42.98
20231002,14,0.26,20.09,0.52,20.16,42.98
20231002,15,0.06,20.76,0.29,20.16,41.18
20231002,16,0.32,18.94,0.61,20.15,41.18
20231002,17,0.28,18.22,0.41,20.14,41.63
20231002,18,0.12,15.96,0.58,20.16,36.68
20231002,19,0.55,15.17,0.79,20.12,39.38
20231002,20,0.56,13.29,0.97,20.12,36.23
20231002,21,0.21,12.82,0.43,20.12,35.33
20231002,22,0.23,14.88,0.43,20.12,34.43
20231002,23,0.14,14.53,0.37,20.12,33.53
20231003,00,0.2,15.25,1.67,20.18,35.33
20231003,01,0.27,13.15,0.46,20.13,33.98
20231003,02,0.05,15.61,0.29,20.12,35.33
20231003,03,0.15,15.84,0.43,20.12,35.33
20231003,04,0.0,17.09,0.0,20.12,37.58
20231003,05,0.0,17.87,0.01,20.12,38.48
20231003,06,0.0,14.32,0.01,20.2,34.43
20231003,07,0.0,20.72,0.0,20.13,37.58
20231003,08,0.0,20.68,0.0,20.13,37.58
20231003,09,0.0,20.65,0.0,20.14,38.03
20231003,10,0.0,21.02,0.0,20.14,38.03
20231003,11,0.0,21.26,0.0,20.15,37.58
20231003,12,0.0,12.19,0.11,20.23,35.33
20231003,13,0.0,19.92,0.09,20.15,37.58
20231003,14,0.0,18.73,0.02,20.16,37.13
20231003,15,0.0,18.04,0.0,20.17,35.33
20231003,16,0.0,16.4,0.0,20.17,35.33
20231003,17,0.0,15.73,0.0,20.18,34.88
20231003,18,0.0,9.94,0.01,20.27,36.23
20231003,19,0.0,12.85,0.0,20.19,32.63
20231003,20,0.0,11.69,0.0,20.2,30.83
20231003,21,0.0,11.37,0.01,20.2,32.18
20231003,22,0.0,9.99,0.0,20.21,32.18
20231003,23,0.0,9.19,0.0,20.21,32.18
