Date_Local,Hour_Local,Temp,Snow_Depth,Hourly_Snow,RH,Gust,Wind_Dir,Wind_Speed,Pres,Datetime_UTC
11/15/23,15,42.8,0.0,0.0,16.4,9.31,WNW,4.543,20.23036,2023-11-15 22:00:00+00:00
11/15/23,16,30.2,0.0,0.0,17.8,7.367,W,2.521,20.236267,2023-11-15 23:00:00+00:00
11/15/23,17,25.25,0.0,0.0,20.1,6.633,WNW,2.09,20.245127,2023-11-16 00:00:00+00:00
11/15/23,18,18.5,0.0,0.0,19.5,2.781,NE,1.373,20.23922,2023-11-16 01:00:00+00:00
11/15/23,19,16.25,0.0,0.0,18.6,3.22,SE,1.203,20.2215,2023-11-16 02:00:00+00:00
11/15/23,20,14.0,0.0,0.0,18.4,2.338,ESE,1.263,20.209686,2023-11-16 03:00:00+00:00
11/15/23,21,12.2,0.0,0.0,19.0,6.15,ENE,0.9683,20.200827,2023-11-16 04:00:00+00:00
11/15/23,22,11.3,0.0,0.0,21.5,12.59,WSW,2.732,20.209686,2023-11-16 05:00:00+00:00
11/15/23,23,12.2,0.0,0.0,24.1,11.0,WSW,3.787,20.206734,2023-11-16 06:00:00+00:00
11/16/23,0,11.3,0.0,0.0,27.7,11.07,WSW,3.672,20.209686,2023-11-16 07:00:00+00:00
11/16/23,1,13.11,0.0,0.0,31.3,13.11,WSW,4.324,20.189014,2023-11-16 08:00:00+00:00
11/16/23,2,18.5,0.0,0.0,37.2,14.51,WSW,4.53,20.165386,2023-11-16 09:00:00+00:00
