date,hour,SNOD,GUST,ASNOW_acc_fcst,PRES,TMP
20210101,00,0.0,4.21,1.77e-05,67834.586,262.2
20210101,01,0.0,3.148,1e-07,67710.0,260.5
20210101,02,0.0,3.166,1e-07,67713.336,261.2
20210101,03,0.0,2.93,0.0,67728.336,262.2
20210101,04,0.0,2.994,0.0,67748.89,263.0
20210101,05,0.0,2.486,0.0,67750.555,263.0
20210101,06,0.001854,3.664,0.001485,67853.54,261.5
20210101,07,0.0,2.398,0.0,67797.78,263.5
20210101,08,0.0,2.424,0.0,67815.0,263.0
20210101,09,0.0,2.088,0.0,67826.664,263.8
20210101,10,0.0,1.694,0.0,67849.445,263.5
20210101,11,0.0,1.762,0.0,67855.555,263.2
20210101,12,0.0,5.613,0.00014,67858.336,262.2
20210101,13,0.0,2.047,0.0,67864.72,264.2
20210101,14,0.0,1.933,0.0,67882.78,264.8
20210101,15,0.0,2.088,0.0,67893.89,263.8
20210101,16,0.0,2.23,0.0,67869.445,262.0
20210101,17,0.0,2.58,0.0,67869.445,261.0
20210101,18,0.0001459,4.875,0.0001266,67902.29,261.2
20210101,19,0.0,3.031,0.0,67867.78,259.2
20210101,20,0.0,3.11,0.0,67871.664,258.2
20210101,21,0.0,3.246,0.0,67886.664,257.2
20210101,22,0.0,3.326,0.0,67876.11,257.2
20210101,23,0.000278,3.555,0.0,67865.0,258.0
20210102,00,0.0001042,6.125,3.55e-05,67929.76,261.2
20210102,01,0.0002223,4.03,0.0,67848.89,258.0
20210102,02,0.0001668,4.24,0.0,67852.22,258.0
20210102,03,0.0002223,4.836,3.237e-05,67849.445,258.8
20210102,04,0.000278,5.14,6.5e-06,67830.0,259.8
20210102,05,0.000278,5.715,0.0,67816.664,260.5
20210102,06,0.0001042,6.33,4.89e-05,67962.914,261.8
20210102,07,0.000278,6.098,0.0,67831.664,261.0
20210102,08,0.000278,5.855,0.0,67838.89,261.0
20210102,09,0.000278,5.754,5.3e-06,67866.664,261.2
20210102,10,0.000278,5.887,0.0,67865.555,261.5
20210102,11,0.000278,6.664,9.4e-06,67836.664,261.8
20210102,12,0.0004377,7.188,0.00064,67958.336,261.5
20210102,13,0.0001668,6.63,0.0,67846.11,261.8
20210102,14,5.555e-05,7.516,0.0,67826.664,261.8
20210102,15,0.0003335,7.844,0.0,67797.22,262.5
20210102,16,0.000389,7.902,0.0,67793.336,262.2
20210102,17,0.0004447,7.97,0.0,67766.664,261.5
20210102,18,0.001771,7.742,0.001773,67982.29,261.8
20210102,19,0.0,7.547,0.0,67786.11,260.5
20210102,20,0.0,7.188,0.0,67780.555,260.0
20210102,21,0.0008893,7.543,0.0,67797.22,259.0
20210102,22,0.001,7.523,0.0,67830.555,259.2
20210102,23,0.001056,7.797,2.4e-06,67806.11,259.8
20210103,00,0.1196,7.13,0.0006332,68039.21,262.2
20210103,01,0.12366,7.945,7.1e-06,67833.89,260.2
20210103,02,0.1235,7.78,1.174e-05,67839.445,260.8
20210103,03,0.1233,8.1,8.2e-06,67834.445,261.5
20210103,04,0.123,7.504,0.0,67842.78,262.2
20210103,05,0.12256,8.016,1.47e-05,67823.89,262.8
20210103,06,0.11597,6.19,7.56e-05,68082.5,263.5
20210103,07,0.1214,8.43,0.00010467,67882.78,263.2
20210103,08,0.1214,8.125,0.00010705,67865.484,263.8
20210103,09,0.12085,7.934,0.0001842,67878.336,264.0
20210103,10,0.12036,8.75,0.0004606,67905.0,264.2
20210103,11,0.1199,8.08,0.000705,67898.89,264.8
20210103,12,0.1172,7.34,0.004597,68028.125,264.5
20210103,13,0.11816,7.977,0.001284,67927.74,265.5
20210103,14,0.1205,8.42,0.003277,67942.22,265.2
20210103,15,0.1191,8.766,0.003166,67945.0,265.5
20210103,16,0.11975,8.27,0.005077,67965.14,265.2
20210103,17,0.1187,7.652,0.004757,67972.78,264.5
20210103,18,0.1165,8.46,0.01048,68016.56,264.5
20210103,19,0.1181,7.22,0.0054,68009.445,262.8
20210103,20,0.12036,6.895,0.00817,68032.78,261.8
20210103,21,0.1252,6.42,0.013596,68063.336,261.5
20210103,22,0.1257,5.71,0.01359,68135.555,261.5
20210103,23,0.1295,5.62,0.01743,68150.0,261.8
